In real time|People who come|People in queue(first/second)|People who left|Transported People|Gondola status
(7, 0, 12)|0|[1, 1]|0|0|status.moving
(7, 0, 13)|0|[1, 1]|0|0|status.moving
(7, 0, 14)|0|[1, 1]|0|0|status.moving
(7, 0, 15)|0|[1, 1]|0|0|status.moving
(7, 0, 16)|0|[1, 1]|0|0|status.moving
(7, 0, 17)|0|[1, 1]|0|0|status.moving
(7, 0, 18)|0|[1, 1]|0|0|status.moving
(7, 0, 19)|0|[1, 1]|0|0|status.moving
(7, 0, 20)|0|[1, 1]|0|0|status.moving
(7, 0, 21)|0|[1, 1]|0|0|status.moving
(7, 0, 22)|0|[1, 1]|0|0|status.moving
(7, 0, 23)|0|[1, 1]|0|0|status.moving
(7, 0, 24)|0|[1, 1]|0|0|status.moving
(7, 0, 25)|0|[2, 1]|0|0|status.moving
(7, 0, 26)|0|[2, 1]|0|0|status.moving
(7, 0, 27)|0|[2, 1]|0|0|status.moving
(7, 0, 28)|0|[2, 1]|0|0|status.moving
(7, 0, 29)|0|[2, 1]|0|0|status.moving
(7, 0, 30)|0|[2, 1]|0|0|status.moving
(7, 0, 31)|0|[2, 1]|0|0|status.moving
(7, 0, 32)|0|[2, 1]|0|0|status.moving
(7, 0, 33)|0|[2, 1]|0|0|status.moving
(7, 0, 34)|0|[2, 1]|0|0|status.moving
(7, 0, 35)|0|[2, 1]|0|0|status.moving
(7, 0, 36)|0|[2, 1]|0|0|status.moving
(7, 0, 37)|0|[2, 1]|0|0|status.moving
(7, 0, 38)|0|[2, 1]|0|0|status.moving
(7, 0, 39)|1|[2, 2]|0|0|status.moving
(7, 0, 40)|0|[1, 2]|1|0|status.moving
(7, 0, 41)|0|[1, 2]|1|0|status.moving
(7, 0, 42)|0|[1, 2]|1|0|status.moving
(7, 0, 43)|0|[2, 2]|1|0|status.moving
(7, 0, 44)|0|[2, 2]|1|0|status.moving
(7, 0, 45)|0|[2, 2]|1|0|status.moving
(7, 0, 46)|0|[2, 2]|1|0|status.moving
(7, 0, 47)|0|[2, 2]|1|0|status.moving
(7, 0, 48)|0|[2, 2]|1|0|status.moving
(7, 0, 49)|0|[2, 2]|1|0|status.moving
(7, 0, 50)|0|[2, 2]|1|0|status.moving
(7, 0, 51)|0|[2, 2]|1|0|status.moving
(7, 0, 52)|0|[2, 2]|1|0|status.moving
(7, 0, 53)|0|[2, 2]|1|0|status.moving
(7, 0, 54)|0|[2, 2]|1|0|status.moving
(7, 0, 55)|0|[2, 2]|1|0|status.moving
(7, 0, 56)|0|[2, 2]|1|0|status.moving
(7, 0, 57)|0|[2, 2]|1|0|status.moving
(7, 0, 58)|0|[2, 2]|1|0|status.moving
