Symulation time|Real time|People who come|People in queue(first/second)|People who left|Transported People
25100|(6, 58, 20)|0|[0, 0]|0|0
25101|(6, 58, 21)|1|[1, 0]|0|0
25102|(6, 58, 22)|0|[1, 0]|0|0
25103|(6, 58, 23)|0|[1, 0]|0|0
25104|(6, 58, 24)|0|[1, 0]|0|0
25105|(6, 58, 25)|0|[1, 0]|0|0
25106|(6, 58, 26)|0|[1, 0]|0|0
25107|(6, 58, 27)|0|[1, 0]|0|0
25108|(6, 58, 28)|0|[1, 0]|0|0
25109|(6, 58, 29)|0|[1, 0]|0|0
25110|(6, 58, 30)|0|[1, 0]|0|0
25111|(6, 58, 31)|0|[1, 0]|0|0
25112|(6, 58, 32)|0|[1, 0]|0|0
25113|(6, 58, 33)|0|[1, 0]|0|0
25114|(6, 58, 34)|0|[1, 0]|0|0
25115|(6, 58, 35)|0|[1, 0]|0|0
25116|(6, 58, 36)|0|[1, 0]|0|0
25117|(6, 58, 37)|0|[1, 0]|0|0
25118|(6, 58, 38)|0|[1, 0]|0|0
25119|(6, 58, 39)|0|[1, 0]|0|0
25120|(6, 58, 40)|0|[1, 0]|0|0
25121|(6, 58, 41)|0|[1, 0]|0|0
25122|(6, 58, 42)|0|[1, 0]|0|0
25123|(6, 58, 43)|0|[1, 0]|0|0
25124|(6, 58, 44)|0|[1, 0]|0|0
25125|(6, 58, 45)|0|[1, 0]|0|0
25126|(6, 58, 46)|0|[1, 0]|0|0
25127|(6, 58, 47)|0|[1, 0]|0|0
25128|(6, 58, 48)|0|[1, 0]|0|0
25129|(6, 58, 49)|0|[1, 0]|0|0
25130|(6, 58, 50)|0|[1, 0]|0|0
25131|(6, 58, 51)|0|[1, 0]|0|0
25132|(6, 58, 52)|0|[1, 0]|0|0
25133|(6, 58, 53)|0|[1, 0]|0|0
25134|(6, 58, 54)|0|[1, 0]|0|0
25135|(6, 58, 55)|0|[1, 0]|0|0
25136|(6, 58, 56)|0|[1, 0]|0|0
25137|(6, 58, 57)|0|[1, 0]|0|0
25138|(6, 58, 58)|0|[1, 0]|0|0
25139|(6, 58, 59)|0|[1, 0]|0|0
25140|(6, 59, 0)|0|[1, 0]|0|0
25141|(6, 59, 1)|0|[1, 0]|0|0
25142|(6, 59, 2)|1|[2, 0]|0|0
25143|(6, 59, 3)|0|[2, 0]|0|0
25144|(6, 59, 4)|0|[2, 0]|0|0
25145|(6, 59, 5)|0|[2, 0]|0|0
25146|(6, 59, 6)|0|[2, 0]|0|0
25147|(6, 59, 7)|0|[2, 0]|0|0
25148|(6, 59, 8)|0|[2, 0]|0|0
25149|(6, 59, 9)|0|[2, 0]|0|0
25150|(6, 59, 10)|0|[2, 0]|0|0
25151|(6, 59, 11)|0|[2, 0]|0|0
25152|(6, 59, 12)|0|[2, 0]|0|0
25153|(6, 59, 13)|0|[2, 0]|0|0
25154|(6, 59, 14)|0|[2, 0]|0|0
25155|(6, 59, 15)|0|[2, 0]|0|0
25156|(6, 59, 16)|0|[2, 0]|0|0
25157|(6, 59, 17)|0|[2, 0]|0|0
25158|(6, 59, 18)|0|[2, 0]|0|0
25159|(6, 59, 19)|0|[2, 0]|0|0
25160|(6, 59, 20)|0|[2, 0]|0|0
25161|(6, 59, 21)|0|[2, 0]|0|0
25162|(6, 59, 22)|0|[2, 0]|0|0
25163|(6, 59, 23)|0|[2, 0]|0|0
25164|(6, 59, 24)|0|[2, 0]|0|0
25165|(6, 59, 25)|0|[2, 0]|0|0
25166|(6, 59, 26)|0|[2, 0]|0|0
25167|(6, 59, 27)|0|[2, 0]|0|0
25168|(6, 59, 28)|0|[2, 0]|0|0
25169|(6, 59, 29)|0|[2, 0]|0|0
25170|(6, 59, 30)|0|[2, 0]|0|0
25171|(6, 59, 31)|0|[2, 0]|0|0
25172|(6, 59, 32)|0|[2, 0]|0|0
25173|(6, 59, 33)|0|[2, 0]|0|0
25174|(6, 59, 34)|0|[2, 0]|0|0
25175|(6, 59, 35)|0|[2, 0]|0|0
25176|(6, 59, 36)|0|[2, 0]|0|0
25177|(6, 59, 37)|0|[2, 0]|0|0
25178|(6, 59, 38)|0|[2, 0]|0|0
25179|(6, 59, 39)|0|[2, 0]|0|0
25180|(6, 59, 40)|0|[2, 0]|0|0
25181|(6, 59, 41)|0|[2, 0]|0|0
25182|(6, 59, 42)|0|[2, 0]|0|0
25183|(6, 59, 43)|0|[2, 0]|0|0
25184|(6, 59, 44)|0|[2, 0]|0|0
25185|(6, 59, 45)|0|[2, 0]|0|0
25186|(6, 59, 46)|0|[2, 0]|0|0
25187|(6, 59, 47)|0|[2, 0]|0|0
25188|(6, 59, 48)|0|[2, 0]|0|0
25189|(6, 59, 49)|0|[2, 0]|0|0
25190|(6, 59, 50)|0|[1, 0]|1|0
25191|(6, 59, 51)|0|[1, 0]|1|0
25192|(6, 59, 52)|0|[1, 0]|1|0
25193|(6, 59, 53)|0|[1, 0]|1|0
25194|(6, 59, 54)|0|[1, 0]|1|0
25195|(6, 59, 55)|1|[1, 1]|1|0
25196|(6, 59, 56)|0|[1, 1]|1|0
25197|(6, 59, 57)|0|[1, 1]|1|0
25198|(6, 59, 58)|0|[1, 1]|1|0
25199|(6, 59, 59)|0|[1, 1]|1|0
25200|(7, 0, 0)|0|[1, 1]|1|0
25201|(7, 0, 1)|0|[0, 0]|1|0
25202|(7, 0, 2)|0|[0, 0]|1|0
25203|(7, 0, 3)|0|[0, 0]|1|0
25204|(7, 0, 4)|0|[0, 0]|1|0
25205|(7, 0, 5)|0|[0, 0]|1|0
25206|(7, 0, 6)|0|[0, 0]|1|0
25207|(7, 0, 7)|0|[0, 0]|1|0
25208|(7, 0, 8)|0|[0, 0]|1|0
25209|(7, 0, 9)|0|[0, 0]|1|0
25210|(7, 0, 10)|0|[0, 0]|1|0
25211|(7, 0, 11)|0|[0, 0]|1|0
25212|(7, 0, 12)|0|[0, 0]|1|0
25213|(7, 0, 13)|0|[0, 0]|1|0
25214|(7, 0, 14)|0|[0, 0]|1|0
25215|(7, 0, 15)|0|[0, 0]|1|0
25216|(7, 0, 16)|0|[0, 0]|1|0
25217|(7, 0, 17)|0|[0, 0]|1|0
25218|(7, 0, 18)|0|[0, 0]|1|0
25219|(7, 0, 19)|0|[0, 0]|1|0
25220|(7, 0, 20)|0|[0, 0]|1|0
25221|(7, 0, 21)|0|[0, 0]|1|0
25222|(7, 0, 22)|0|[0, 0]|1|0
25223|(7, 0, 23)|0|[0, 0]|1|0
25224|(7, 0, 24)|0|[0, 0]|1|0
25225|(7, 0, 25)|1|[1, 0]|1|0
25226|(7, 0, 26)|0|[1, 0]|1|0
25227|(7, 0, 27)|0|[1, 0]|1|0
25228|(7, 0, 28)|0|[1, 0]|1|0
25229|(7, 0, 29)|0|[1, 0]|1|0
25230|(7, 0, 30)|0|[1, 0]|1|0
25231|(7, 0, 31)|0|[1, 0]|1|0
25232|(7, 0, 32)|0|[1, 0]|1|0
25233|(7, 0, 33)|0|[1, 0]|1|0
25234|(7, 0, 34)|0|[1, 0]|1|0
25235|(7, 0, 35)|0|[1, 0]|1|0
25236|(7, 0, 36)|0|[1, 0]|1|0
25237|(7, 0, 37)|0|[1, 0]|1|0
25238|(7, 0, 38)|0|[1, 0]|1|0
25239|(7, 0, 39)|1|[1, 1]|1|0
25240|(7, 0, 40)|0|[1, 1]|1|0
25241|(7, 0, 41)|0|[1, 1]|1|0
25242|(7, 0, 42)|0|[1, 1]|1|0
25243|(7, 0, 43)|1|[2, 1]|1|0
25244|(7, 0, 44)|0|[2, 1]|1|0
25245|(7, 0, 45)|0|[2, 1]|1|0
25246|(7, 0, 46)|0|[2, 1]|1|0
25247|(7, 0, 47)|0|[2, 1]|1|0
25248|(7, 0, 48)|0|[2, 1]|1|0
25249|(7, 0, 49)|0|[2, 1]|1|0
25250|(7, 0, 50)|0|[2, 1]|1|0
25251|(7, 0, 51)|0|[2, 1]|1|0
25252|(7, 0, 52)|0|[2, 1]|1|0
25253|(7, 0, 53)|0|[2, 1]|1|0
25254|(7, 0, 54)|0|[2, 1]|1|0
25255|(7, 0, 55)|0|[2, 1]|1|0
25256|(7, 0, 56)|0|[2, 1]|1|0
25257|(7, 0, 57)|0|[2, 1]|1|0
25258|(7, 0, 58)|0|[2, 1]|1|0
25259|(7, 0, 59)|0|[2, 1]|1|0
25260|(7, 1, 0)|0|[2, 1]|1|0
25261|(7, 1, 1)|0|[2, 1]|1|0
25262|(7, 1, 2)|0|[2, 1]|1|0
25263|(7, 1, 3)|0|[2, 1]|1|0
25264|(7, 1, 4)|0|[2, 1]|1|0
25265|(7, 1, 5)|0|[2, 1]|1|0
25266|(7, 1, 6)|0|[2, 1]|1|0
25267|(7, 1, 7)|0|[2, 1]|1|0
25268|(7, 1, 8)|0|[2, 1]|1|0
25269|(7, 1, 9)|0|[2, 1]|1|0
25270|(7, 1, 10)|0|[2, 1]|1|0
25271|(7, 1, 11)|0|[2, 1]|1|0
25272|(7, 1, 12)|0|[2, 1]|1|0
25273|(7, 1, 13)|0|[2, 1]|1|0
25274|(7, 1, 14)|0|[2, 1]|1|0
25275|(7, 1, 15)|0|[2, 1]|1|0
25276|(7, 1, 16)|0|[2, 1]|1|0
25277|(7, 1, 17)|0|[2, 1]|1|0
25278|(7, 1, 18)|0|[2, 1]|1|0
25279|(7, 1, 19)|0|[2, 1]|1|0
25280|(7, 1, 20)|0|[2, 1]|1|0
25281|(7, 1, 21)|0|[2, 1]|1|0
25282|(7, 1, 22)|0|[2, 1]|1|0
25283|(7, 1, 23)|0|[2, 1]|1|0
25284|(7, 1, 24)|0|[2, 1]|1|0
25285|(7, 1, 25)|0|[2, 1]|1|0
25286|(7, 1, 26)|0|[2, 1]|1|0
25287|(7, 1, 27)|0|[2, 1]|1|0
25288|(7, 1, 28)|0|[2, 1]|1|0
25289|(7, 1, 29)|0|[2, 1]|1|0
25290|(7, 1, 30)|0|[2, 1]|1|0
25291|(7, 1, 31)|0|[2, 1]|1|0
25292|(7, 1, 32)|0|[2, 1]|1|0
25293|(7, 1, 33)|0|[2, 1]|1|0
25294|(7, 1, 34)|0|[2, 1]|1|0
25295|(7, 1, 35)|0|[2, 1]|1|0
25296|(7, 1, 36)|0|[2, 1]|1|0
25297|(7, 1, 37)|0|[2, 1]|1|0
25298|(7, 1, 38)|0|[1, 1]|2|0
25299|(7, 1, 39)|0|[1, 1]|2|0
25300|(7, 1, 40)|0|[1, 1]|2|0
25301|(7, 1, 41)|0|[1, 1]|2|0
25302|(7, 1, 42)|0|[1, 1]|2|0
25303|(7, 1, 43)|0|[1, 1]|2|0
25304|(7, 1, 44)|0|[1, 1]|2|0
25305|(7, 1, 45)|0|[1, 1]|2|0
25306|(7, 1, 46)|0|[1, 1]|2|0
25307|(7, 1, 47)|0|[1, 1]|2|0
25308|(7, 1, 48)|0|[1, 1]|2|0
25309|(7, 1, 49)|0|[1, 1]|2|0
25310|(7, 1, 50)|0|[1, 1]|2|0
25311|(7, 1, 51)|0|[1, 1]|2|0
25312|(7, 1, 52)|0|[1, 1]|2|0
25313|(7, 1, 53)|0|[1, 1]|2|0
25314|(7, 1, 54)|0|[1, 1]|2|0
25315|(7, 1, 55)|0|[1, 1]|2|0
25316|(7, 1, 56)|0|[1, 1]|2|0
25317|(7, 1, 57)|0|[1, 1]|2|0
25318|(7, 1, 58)|0|[1, 1]|2|0
25319|(7, 1, 59)|0|[1, 1]|2|0
25320|(7, 2, 0)|0|[1, 1]|2|0
25321|(7, 2, 1)|0|[1, 1]|2|0
25322|(7, 2, 2)|0|[1, 1]|2|0
25323|(7, 2, 3)|0|[1, 1]|2|0
25324|(7, 2, 4)|0|[1, 1]|2|0
25325|(7, 2, 5)|0|[1, 1]|2|0
25326|(7, 2, 6)|0|[1, 1]|2|0
25327|(7, 2, 7)|0|[1, 1]|2|0
25328|(7, 2, 8)|0|[1, 1]|2|0
25329|(7, 2, 9)|0|[1, 1]|2|0
25330|(7, 2, 10)|0|[1, 0]|3|0
25331|(7, 2, 11)|0|[1, 0]|3|0
25332|(7, 2, 12)|0|[1, 0]|3|0
25333|(7, 2, 13)|0|[1, 0]|3|0
25334|(7, 2, 14)|0|[1, 0]|3|0
25335|(7, 2, 15)|1|[1, 1]|3|0
25336|(7, 2, 16)|0|[1, 1]|3|0
25337|(7, 2, 17)|0|[1, 1]|3|0
25338|(7, 2, 18)|0|[1, 1]|3|0
25339|(7, 2, 19)|0|[1, 1]|3|0
25340|(7, 2, 20)|1|[2, 1]|3|0
25341|(7, 2, 21)|0|[2, 1]|3|0
25342|(7, 2, 22)|0|[2, 1]|3|0
25343|(7, 2, 23)|0|[2, 1]|3|0
25344|(7, 2, 24)|0|[2, 1]|3|0
25345|(7, 2, 25)|0|[2, 1]|3|0
25346|(7, 2, 26)|0|[2, 1]|3|0
25347|(7, 2, 27)|0|[2, 1]|3|0
25348|(7, 2, 28)|0|[2, 1]|3|0
25349|(7, 2, 29)|0|[2, 1]|3|0
25350|(7, 2, 30)|0|[2, 1]|3|0
25351|(7, 2, 31)|0|[2, 1]|3|0
25352|(7, 2, 32)|0|[2, 1]|3|0
25353|(7, 2, 33)|0|[2, 1]|3|0
25354|(7, 2, 34)|0|[1, 1]|4|0
25355|(7, 2, 35)|0|[1, 1]|4|0
25356|(7, 2, 36)|0|[1, 1]|4|0
25357|(7, 2, 37)|0|[1, 1]|4|0
25358|(7, 2, 38)|0|[1, 1]|4|0
25359|(7, 2, 39)|0|[1, 1]|4|0
25360|(7, 2, 40)|0|[1, 1]|4|0
25361|(7, 2, 41)|0|[1, 1]|4|0
25362|(7, 2, 42)|0|[1, 1]|4|0
25363|(7, 2, 43)|0|[1, 1]|4|0
25364|(7, 2, 44)|0|[1, 1]|4|0
25365|(7, 2, 45)|0|[1, 1]|4|0
25366|(7, 2, 46)|0|[1, 1]|4|0
25367|(7, 2, 47)|0|[1, 1]|4|0
25368|(7, 2, 48)|0|[1, 1]|4|0
25369|(7, 2, 49)|0|[1, 1]|4|0
25370|(7, 2, 50)|0|[1, 1]|4|0
25371|(7, 2, 51)|0|[1, 1]|4|0
25372|(7, 2, 52)|0|[1, 1]|4|0
25373|(7, 2, 53)|0|[1, 1]|4|0
25374|(7, 2, 54)|0|[1, 1]|4|0
25375|(7, 2, 55)|0|[1, 1]|4|0
25376|(7, 2, 56)|0|[1, 1]|4|0
25377|(7, 2, 57)|0|[1, 1]|4|0
25378|(7, 2, 58)|0|[1, 1]|4|0
25379|(7, 2, 59)|0|[1, 1]|4|0
25380|(7, 3, 0)|0|[1, 1]|4|0
25381|(7, 3, 1)|0|[1, 1]|4|0
25382|(7, 3, 2)|0|[1, 1]|4|0
25383|(7, 3, 3)|0|[1, 1]|4|0
25384|(7, 3, 4)|0|[1, 1]|4|0
25385|(7, 3, 5)|0|[1, 1]|4|0
25386|(7, 3, 6)|0|[1, 1]|4|0
25387|(7, 3, 7)|0|[1, 1]|4|0
25388|(7, 3, 8)|0|[1, 1]|4|0
