Symulation time|Real time|People who come|People in queue(first/second)|People who left|Transported People
25221|(7, 0, 21)|0|[0, 2]|0|0
25222|(7, 0, 22)|0|[0, 2]|0|0
25223|(7, 0, 23)|1|[0, 3]|0|0
25224|(7, 0, 24)|0|[0, 3]|0|0
25225|(7, 0, 25)|0|[0, 3]|0|0
25226|(7, 0, 26)|0|[0, 3]|0|0
25227|(7, 0, 27)|0|[0, 3]|0|0
25228|(7, 0, 28)|0|[0, 3]|0|0
25229|(7, 0, 29)|0|[0, 3]|0|0
25230|(7, 0, 30)|0|[0, 3]|0|0
25231|(7, 0, 31)|0|[0, 3]|0|0
25232|(7, 0, 32)|0|[0, 3]|0|0
25233|(7, 0, 33)|0|[0, 3]|0|0
25234|(7, 0, 34)|0|[0, 3]|0|0
25235|(7, 0, 35)|0|[0, 3]|0|0
25236|(7, 0, 36)|0|[0, 3]|0|0
25237|(7, 0, 37)|0|[0, 3]|0|0
25238|(7, 0, 38)|0|[0, 3]|0|0
25239|(7, 0, 39)|0|[0, 3]|0|0
25240|(7, 0, 40)|0|[0, 3]|0|0
25241|(7, 0, 41)|0|[0, 3]|0|0
25242|(7, 0, 42)|0|[0, 3]|0|0
25243|(7, 0, 43)|0|[0, 3]|0|0
25244|(7, 0, 44)|0|[0, 3]|0|0
25245|(7, 0, 45)|1|[0, 4]|0|0
25246|(7, 0, 46)|0|[0, 4]|0|2
25247|(7, 0, 47)|0|[0, 4]|0|2
25248|(7, 0, 48)|0|[0, 2]|0|2
25249|(7, 0, 49)|0|[0, 2]|0|2
25250|(7, 0, 50)|0|[0, 2]|0|2
25251|(7, 0, 51)|0|[0, 2]|0|2
25252|(7, 0, 52)|0|[0, 2]|0|2
25253|(7, 0, 53)|0|[0, 2]|0|2
25254|(7, 0, 54)|0|[0, 2]|0|2
25255|(7, 0, 55)|1|[1, 2]|0|2
25256|(7, 0, 56)|0|[1, 2]|0|2
25257|(7, 0, 57)|0|[1, 2]|0|2
25258|(7, 0, 58)|0|[1, 2]|0|2
25259|(7, 0, 59)|0|[1, 2]|0|2
25260|(7, 1, 0)|0|[1, 2]|0|2
25261|(7, 1, 1)|0|[1, 2]|0|2
25262|(7, 1, 2)|0|[1, 2]|0|2
25263|(7, 1, 3)|0|[1, 2]|0|2
25264|(7, 1, 4)|0|[1, 2]|0|2
25265|(7, 1, 5)|0|[1, 2]|0|2
25266|(7, 1, 6)|0|[1, 2]|0|2
25267|(7, 1, 7)|0|[1, 2]|0|2
25268|(7, 1, 8)|0|[1, 2]|0|2
25269|(7, 1, 9)|0|[1, 2]|0|2
25270|(7, 1, 10)|0|[1, 2]|0|2
25271|(7, 1, 11)|0|[1, 2]|0|2
